code,name,price,rights_raw,incentive_text
1301,極洋,4875,3月末日,"自社製品
100株以上
2,500円相当
300株以上
6,000円相当"
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,3613,,
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,3579,,
1308,上場インデックスファンドＴＯＰＩＸ,3539,,
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,54000,,
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,1784,,
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,650,,
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,52060,,
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,52320,,
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,11040,,
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,249.8999939,,
1326,ＳＰＤＲゴールド・シェア,62690,,
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,16270,,
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,5242,,
1330,上場インデックスファンド２２５,52360,,
1332,ニッスイ,1144,3月末日,"自社商品詰め合わせ
500株以上
3,000円相当
1,000株以上
5,000円相当"
1333,マルハニチロ,1286,3月末日,"100株以上
自社オリジナルギフトカード 500円分
500株以上
自社商品 3,000円相当
1,000株以上
自社商品 5,000円相当
※中期経営計画の期間中である 2026年、2027年、2028年3月末現在の自社株主名簿に記載、または記録された 100株以上を保有されている株主を対象とする
※本株主優待制度は、新社名記念という形で設計しており、導入期間は2028年3月期を最終年度とする中期経営期間中とする"
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,2180.5,,
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,2056,,
1346,ＭＡＸＩＳ　日経２２５上場投信,52360,,
1348,ＭＡＸＩＳ　トピックス上場投信,3565,,
1349,ＡＢＦ汎アジア債券インデックス・ファンド,17795,,
1356,ＴＯＰＩＸベア２倍上場投信,171.3999939,,
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,5842,,
1358,上場インデックスファンド日経レバレッジ指数,81610,,
1360,日経平均ベア２倍上場投信,143.3999939,,
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,3173,,
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,66110,,
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,147,,
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,55030,,
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,248,,
1369,Ｏｎｅ　ＥＴＦ　日経２２５,50890,,
1375,ユキグニファクトリー,1052,3月末日,"自社製品セット
継続保有6ヶ月以上
100株以上
3,000円相当
300株以上
5,000円相当
1,000株以上
7,000円相当
※継続保有6ヶ月以上：割当基準日である3月末日とその前年の9月末日に同じ株主番号にて連続して株主名簿に記載されていること。
※保有状況に応じた優待品の具体例は、自社ホームページを参照。"
1376,カネコ種苗,1625,,
1377,サカタのタネ,4270,5月末日,"保有期間、保有株式数に応じた商品カタログの各コースから商品を1点選択
100株以上
継続保有　1年以上：Aコース　　5年以上：Bコース
300株以上
継続保有　1年以上：Bコース　　5年以上：Cコース
1,000株以上
継続保有　1年以上：Cコース　　5年以上：Dコース
※継続保有1年以上：株主名簿に同一株主番号で初めて登録されてからの期間が、"
1379,ホクト,2024,3月末日,"下記より１点選択
100株以上
A．健康セット
（アガリクスドリンク等詰合せ）
B．レトルトセット
（レトルトカレー、炊き込みご飯の素等詰合せ）
C．きのこ・レトルトセット
（きのこ数種類、レトルトカレー等詰合せ）
（発送は10月下旬予定）"
1380,秋川牧園,1008,3月末日,"自社製品（安心・安全にこだわった食肉と冷凍食品等）
500株以上
1,500円相当
1,000株以上
3,500円相当"
1381,アクシーズ,4145,6月末日,"500株以上
「薩摩ハーブ悠然どり」を使用したチキン加工食品の株主優待限定セレクション"
1382,ホーブ,1793,,
1383,ベルグアース,3195,4月末日,"①～⑧より一つ選択
100株以上
①メロン2玉セット（5,000円相当）
②オリーブ＆リサイクルポーチ栽培セット（4,000円相当）
③トマト栽培セット（3,500円相当）
④多肉植物寄植え「ポ・ミニヨン」（3,500円相当）
⑤デリシャストマト商品セット（3,000円相当）
⑥愛媛産夏野菜（青果）セット（2,500円相当）
⑦夏野菜苗セット（2,000円相当）
⑧クオ・カード（1,000円相当）
お申し込み方法：
対象の株主様には優待申込ハガキを送付。
①～⑧の内容より1つ選択の上、期限までに返送。"
1384,ホクリヨウ,3015,3月末日,"たまごギフト券
100株以上
500円分
1,000株以上
2,000円分"
1397,ＳＭＤＡＭ　日経２２５上場投信,50950,,
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,2072.5,,
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,2730,,
1401,エムビーエス,1337,,
1407,ウエストホールディングス,1528,,
1414,ショーボンドホールディングス,1324,,
1417,ミライト・ワン,3505,3月末日,"①～⑤の中から選択
①QUOカード
②各種電子マネー（Amazon、waon、nanaco、apple、PayPay、dポイント、Pontaポイント）
③社会貢献団体への寄付
④ミライト・ワン米 1kg（抽選で500名を対象）※スマートフォン等で申込のみ
⑤ミライト・ワン米 5kg（抽選で150名を対象）※スマートフォン等で申込のみ
100株以上
継続保有1年以上：①1,000円相当　または　②1,000円相当　または　③1,000円　または　④
500株以上
継続保有1年以上：①2,000円相当　または　②2,000円相当　または　③2,000円
1,000株以上
継続保有1年以上：①3,000円相当　または　②3,000円相当　または　③3,000円
継続保有3年以上：①4,000円相当　または　②4,000円相当　または　③4,000円　または　⑤
※100株以上を、毎年3月末及び9月末の株主名簿に同一株主番号で1年以上は連続3回以上、3年以上は連続7回以上保有していることが記載されていること。
※③の寄付先となる社会貢献活動団体には、「公益財団法人スペシャルオリンピックス日本」を選定。
スペシャルオリンピックスとは、知的障害のある人たちに様々なスポーツトレーニングとその成果の発表の場である競技会を、年間を通じ提供している国際的なスポーツ組織。
※④⑤の抽選には、応募期間あり。抽選に外れた場合は、他の優待品の申し込みが可能（申込期限あり）。"
1418,インターライフホールディングス,711,,
1419,タマホーム,3580,11月末日,"株主様限定　特製QUOカード
100株以上
保有期間　3年未満：2,000円分　　3年以上：4,000円分
※保有期間の算定について、自社優待制度が開始となった2015年5月31日以前に自社株式を保有された株主様は2015年5月31日、2015年6月1日以降に保有された株主様は株式取得日を始期として判断。"
1420,サンヨーホームズ,714,3月末日,"QUOカード
100株以上
1,000円相当
500株以上
3,000円相当"
1429,日本アクア,863,,
1430,ファーストコーポレーション,978,11月末日,"QUOカード
500株以上
1年以上：2,000円分　　　3年以上：3,000円分
1,000株以上
1年以上：3,000円分　　　3年以上：5,000円分
5,000株以上
1年以上：5,000円分　　　3年以上：10,000円分
※株主優待の対象となる株主様は、毎年11月末日の基準日時において500株以上を1年以上保有する株主様で、各区分の保有株式数に応じて、継続保有期間中のいずれかの時点においても、同一株主番号で各区分の最小株式数（500株、1,000株又は5,000株）を下回る事なく保有していることが自社株主名簿により確認できる株主様。
※継続保有1年以上：毎年2月末日、5月末日、8月末日及び11月末日現在の株主名簿に5回以上連続して、同一株主番号にて記載又は記録される状態。
※継続保有3年以上：毎年2月末日、5月末日、8月末日及び11月末日現在の株主名簿に13回以上連続して、同一株主番号にて記載又は記録される状態。"
1431,Ｌｉｂ　Ｗｏｒｋ,655,6月末日・3月末日・9月末日・12月末日,"①QUOカード
②投資用アパート建物本体価格割引券
③株主優待ポイント
保有株式数及び保有期間に応じてポイント進呈。
Lib Workプレミアム優待倶楽部サイトにおいて、会員登録のうえ、ポイントと食品、電化製品、ギフト、旅行・体験など2,000点以上の商品や、他のプレミアム優待倶楽部導入企業の優待ポイントと合算が可能な共通株主優待コイン「WILLs Coin」と交換可能。
④暗号資産（ビットコイン）※抽選
【6月末、9月末、12月末、3月末】
1,000株以上
③継続保有期間　1年未満：5,000ポイント　1年以上：5,500ポイント
2,000株以上
③継続保有期間　1年未満：12,000ポイント　1年以上：13,200ポイント
5,000株以上
③継続保有期間　1年未満：35,000ポイント　1年以上：38,500ポイント
※ポイントは次年度へ繰越可能。（ポイントは最大2年間有効）
※ポイントを繰越す場合、6月末日、9月末日、12月末日、3月末日現在の"
1432,動力,174,,
1433,ベステラ,1304,1月末日,"株主優待ポイント（1ポイント≒1円）
「ベステラ・プレミアム優待倶楽部」において、保有株式数に応じて優待ポイントを贈呈。ポイントを食品、銘酒、電化製品、雑貨などと交換可能。また他のプレミアム優待倶楽部導入企業の優待ポイントと合算可能な共通株主優待コイン「WILLsCoin」にも交換可能。
500株以上
3,000ポイント
600株以上
5,000ポイント
800株以上
10,000ポイント
900株以上
15,000ポイント
1,000株以上
30,000ポイント
5,000株以上
40,000ポイント
※株主優待ポイントは次年度へ繰越可（1回のみ）。
※ポイントを繰越す場合、翌年1月末現在の株主名簿に同一の株主番号で連続2回記載されていること及び500株以上の保有が条件。
※詳しくは、自社ホームページを参照。"
1434,ＪＥＳＣＯホールディングス,1491,,
1435,ｒｏｂｏｔ　ｈｏｍｅ,176,12月末日,"【2025年12月末のみ】
上場10周年記念株主優待
デジタルギフト
1,000株以上
10,000円分
※対象となる交換先は下記を予定。
Amazon ギフトカード ／ QUO カード Pay ／ PayPay マネーライト ／ d ポイント ／ au PAY ギフトカード ／ Visa e ギフト vanilla ／ 図書カード NEXT ／ Uber Taxi ギフトカード ／ Uber Eats ギフトカード ／ Google Play ギフトコード ／ PlayStation Store チケット ／ DMM プリペイドカード ／ JAL マイレージバンク"
1436,グリーンエナジー＆カンパニー,2435,4月末日・10月末日,"継続保有6ヶ月以上※
300株以上
デジタルギフト（QUOカードPay含む）
15,000円分
※4月末基準の場合は前年度10月末の株主名簿、10月末基準の場合は同年度４月末の株主名簿に、同一株主番号で、連続して２回以上記載または記録され、そのすべての基準日において、300株を下回ることなく保有している株主が対象"
1438,岐阜造園,1815,9月末日,"QUOカード
200株以上
1,000円分"
1443,技研ホールディングス,255,,
1444,ニッソウ,2918,1月末日・7月末日,"①QUOカード
100株以上
継続保有　半年未満：1,000円相当　　半年以上：2,000円相当
②株主優待ポイント（1ポイント≒1円）
「ニッソウ・プレミアム優待倶楽部」において、保有株式数に応じて年2回、優待ポイントを贈呈。ポイントを食品、電化製品、体験ギフトなどと交換可能。寄付も選択可。また他のプレミアム優待倶楽部導入企業の優待ポイントと合算可能な共通株主優待コイン「WILLsCoin」にも交換可能。
300株以上については、①の内容に加え、下記を進呈。
300株以上
18,000ポイント
500株以上
継続保有　1年未満：25,000ポイント　　1年以上：27,500ポイント
700株以上
継続保有　1年未満：30,000ポイント　　1年以上：33,000ポイント
800株以上
継続保有　1年未満：40,000ポイント　　1年以上：44,000ポイント
900株以上
継続保有　1年未満：50,000ポイント　　1年以上：55,000ポイント
1,000株以上
継続保有　1年未満：60,000ポイント　　1年以上：66,000ポイント
2,000株以上
継続保有　1年未満：120,000ポイント　　1年以上：132,000ポイント
※継続保有半年以上：2026年1月末日以降、毎年1月末日、7月末日の株主名簿に同一株主番号で連続して、かつ1単元（100株）以上保有する株主として記載されること。
※継続保有1年以上：毎年1月末日、7月末日の株主名簿に同一株主番号で連続して3回以上かつ500株以上保有する株主として記載されること。
※②の繰越条件：翌1月末日、7月末日において株主名簿に同一株主番号で記載された場合のみ繰越可能（最大3回まで）。"
1445,ひかりホールディングス,2900,,
1446,キャンディル,561,3月末日,"QUOカード
200株以上
3,000円分
2,000株以上
4,000円分
6,000株以上
5,000円分"
1447,ＳＡＡＦホールディングス,270,,
1450,ＴＡＮＡＫＥＮ,1418,,
1452,横浜ライト工業,18530,,
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,1772,,
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,2222,,
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,51150,,
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,236,,
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,319,,
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,303.6000061,,
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,126,,
1473,Ｏｎｅ　ＥＴＦ　トピックス,3501,,
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,31350,,
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,352.8999939,,
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,2088,,
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,3020,,
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,4633,,
1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,43540,,
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,33040,,
1481,上場インデックスファンド日本経済貢献株,3340,,
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,1646,,
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,3300,,
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,3298,,
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,48240,,
1486,上場インデックスファンド米国債券（為替ヘッジなし）,24810,,
1487,上場インデックスファンド米国債券（為替ヘッジあり）,12755,,
1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,2085,,
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,2859,,
